fichero,url,performance,best-practices,seo,calificacion
20250330_28025658_IES NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.victoria.villarejo/,0.58,0.96,0.66,7.9
20250330_28025658_IES NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.victoria.villarejo,0.57,0.62,1,7.03
20250330_28025828_IES FELIPE II_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.felipesegundo.madrid/,0.6,0.96,0.66,7.95
20250330_28025828_IES FELIPE II_url_web_LightHouse.json,http://www.educa.madrid.org/ies.felipesegundo.madrid,0.56,0.79,1,7.85
20250330_28026031_IES VICENTE ALEIXANDRE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.vicentealeixand.pinto/,0.57,0.96,0.66,7.88
20250330_28026031_IES VICENTE ALEIXANDRE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.vicentealeixand.pinto,0.56,0.59,0.92,6.65
20250330_28026092_IES LOS CASTILLOS_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.loscastillos.alcorcon/,0.57,0.93,0.66,7.73
20250330_28026092_IES LOS CASTILLOS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.loscastillos.alcorcon,0.57,0.76,0.92,7.52
20250330_28028301_IES ARQUITECTO PEDRO GUMIEL_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.arquitectopedro.alcala/,0.57,0.96,0.66,7.88
20250330_28028301_IES ARQUITECTO PEDRO GUMIEL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.arquitectopedro.alcala,0.0,0.0,0.0,0.0
20250330_28028350_IES MARIA MOLINER_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.mariamoliner.coslada/,0.62,0.96,0.66,8.0
20250330_28028350_IES MARIA MOLINER_url_web_LightHouse.json,http://www.educa.madrid.org/ies.mariamoliner.coslada,0.44,0.41,0.77,5.08
20250330_28028374_IES DIONISIO AGUADO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.dionisioaguado.fuenlabrada/,0.49,0.96,0.66,7.68
20250330_28028374_IES DIONISIO AGUADO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.dionisioaguado.fuenlabrada,0.0,0.0,0.0,0.0
20250330_28028404_IES BUTARQUE_url_aula_LightHouse.json,https://aulavirtual34.educa.madrid.org/ies.butarque.leganes/,0.63,0.96,0.66,8.03
20250330_28028404_IES BUTARQUE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.butarque.leganes,0.5,0.66,0.92,6.85
20250330_28028428_IES AVENIDA DE LOS TOREROS_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.avenidadelostor.madrid/,0.61,0.96,0.66,7.97
20250330_28028428_IES AVENIDA DE LOS TOREROS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.avenidadelostor.madrid,0.54,0.79,0.92,7.6
20250330_28028431_IES MARIANO JOSE DE LARRA_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.larra.madrid/,0.61,0.96,0.66,7.97
20250330_28028431_IES MARIANO JOSE DE LARRA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.larra.madrid,0.55,0.62,1,6.97
20250330_28028453_IES LA ESTRELLA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.laestrella.madrid/,0.62,0.93,0.66,7.85
20250330_28028453_IES LA ESTRELLA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.laestrella.madrid,0.3,0.66,0.92,6.35
20250330_28028465_IES SAN JUAN BAUTISTA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.sanjuanbautista.madrid/,0.57,0.96,0.66,7.88
